Locality,ERP_2016,ERP_2021,ERP_2026,ERP_2031,ERP_2036,ERP_2041,ERP_2046,ERP_2051,ERP_2056,EMP_2016,EMP_2021,EMP_2026,EMP_2031,EMP_2036,EMP_2041,EMP_2046,EMP_2051,EMP_2056
ABBOTSBURY,6297.0,6410.0,6377.0,6374.0,6395.0,6549.0,6722.0,6911.0,7102.0,723.0,723.0,744.0,792.0,833.0,893.0,937.0,1012.0,1087.0
ABBOTSFORD,5601.0,5719.0,6011.0,6284.0,6484.0,6578.0,6687.0,6811.0,6849.0,803.0,889.0,976.0,1031.0,1087.0,1153.0,1221.0,1285.0,1354.0
ACACIA GARDENS,3958.0,4002.0,4079.0,4098.0,4212.0,4554.0,4873.0,5138.0,5502.0,289.0,332.0,431.0,511.0,595.0,640.0,665.0,678.0,721.0
AGNES BANKS,1392.0,1410.0,1420.0,1435.0,1467.0,1472.0,1478.0,1484.0,1490.0,421.0,414.0,412.0,417.0,428.0,448.0,466.0,482.0,508.0
AIRDS,2999.0,3623.0,4375.0,4875.0,5190.0,5250.0,5276.0,5291.0,5305.0,592.0,639.0,709.0,760.0,813.0,835.0,841.0,871.0,906.0
ALEXANDRIA,8655.0,9166.0,9559.0,9976.0,10381.0,10862.0,11372.0,11926.0,12466.0,26386.0,28205.0,28665.0,30005.0,31140.0,32293.0,33412.0,34342.0,35254.0
ALFORDS POINT,3265.0,3267.0,3269.0,3270.0,3300.0,3431.0,3542.0,3626.0,3849.0,300.0,324.0,340.0,361.0,387.0,410.0,432.0,452.0,473.0
ALLAMBIE HEIGHTS,7358.0,7390.0,7412.0,7424.0,7445.0,7585.0,7717.0,7827.0,8009.0,1985.0,1966.0,2022.0,2191.0,2389.0,2568.0,2736.0,2890.0,3051.0
ALLAWAH,6419.0,6508.0,6664.0,6832.0,7071.0,7294.0,7483.0,7638.0,7790.0,327.0,338.0,361.0,377.0,404.0,424.0,443.0,459.0,478.0
AMBARVALE,6613.0,6796.0,7010.0,7163.0,7366.0,7990.0,8749.0,9636.0,10529.0,527.0,561.0,611.0,647.0,683.0,707.0,724.0,753.0,786.0
ANNANDALE,9828.0,10049.0,10115.0,10326.0,11675.0,13418.0,14266.0,14563.0,14913.0,3051.0,3237.0,3353.0,3723.0,3969.0,4196.0,4408.0,4597.0,4783.0
ANNANGROVE,874.0,901.0,908.0,912.0,914.0,915.0,916.0,915.0,920.0,406.0,434.0,436.0,456.0,485.0,514.0,544.0,567.0,593.0
APPIN,2720.0,2792.0,2227.0,3046.0,4963.0,6111.0,6900.0,7496.0,8096.0,1610.0,2252.0,4175.0,4963.0,6215.0,7728.0,9608.0,10181.0,10425.0
ARCADIA,2016.0,2039.0,2048.0,2055.0,2194.0,2654.0,3093.0,3438.0,3622.0,643.0,681.0,692.0,726.0,768.0,812.0,854.0,889.0,925.0
ARNCLIFFE,9870.0,13648.0,16978.0,19647.0,21862.0,23763.0,25261.0,26878.0,28618.0,2276.0,2468.0,2703.0,2807.0,2910.0,3093.0,3279.0,3452.0,3632.0
ARNDELL PARK,35.0,39.0,45.0,49.0,55.0,58.0,61.0,64.0,68.0,6414.0,6486.0,6287.0,6206.0,6697.0,7131.0,7585.0,8011.0,8574.0
ARTARMON,9978.0,10020.0,10065.0,10129.0,10234.0,10388.0,10549.0,10706.0,11117.0,12092.0,12438.0,12701.0,12967.0,13287.0,13516.0,13706.0,13895.0,14167.0
ASHBURY,3351.0,3371.0,3458.0,3522.0,3589.0,3774.0,3962.0,4169.0,4373.0,417.0,441.0,476.0,511.0,540.0,568.0,596.0,620.0,645.0
ASHCROFT,3685.0,3817.0,4019.0,4229.0,4386.0,5131.0,5968.0,6936.0,6940.0,289.0,338.0,467.0,584.0,716.0,777.0,797.0,832.0,937.0
ASHFIELD,25598.0,27607.0,28381.0,28947.0,29594.0,30960.0,32214.0,33764.0,35334.0,8740.0,9414.0,10421.0,10992.0,11789.0,12451.0,13060.0,13606.0,14177.0
ASQUITH,3864.0,5864.0,6666.0,7217.0,7631.0,8289.0,8951.0,9662.0,10195.0,1637.0,1691.0,1741.0,1784.0,1877.0,1982.0,2081.0,2170.0,2259.0
AUBURN,38933.0,43758.0,45919.0,48326.0,51154.0,54904.0,59882.0,64678.0,68175.0,14591.0,15861.0,17684.0,19251.0,20610.0,21812.0,22989.0,24125.0,25304.0
AUSTRAL,2962.0,4109.0,7623.0,14883.0,23773.0,25849.0,32543.0,39285.0,49904.0,1259.0,2037.0,3411.0,5212.0,7723.0,11718.0,13833.0,15573.0,18182.0
AVALON BEACH,9692.0,9814.0,9942.0,10146.0,10770.0,11347.0,11877.0,12365.0,12851.0,3089.0,3269.0,3470.0,3747.0,4061.0,4310.0,4538.0,4737.0,4944.0
BADGERYS CREEK,237.0,220.0,207.0,108.0,198.0,304.0,310.0,309.0,311.0,356.0,550.0,6933.0,9843.0,12035.0,26088.0,40389.0,57633.0,58589.0
BALGOWLAH,8168.0,8244.0,8231.0,8281.0,8333.0,8534.0,8736.0,8936.0,9138.0,3550.0,3663.0,3682.0,3693.0,3707.0,3757.0,3787.0,3805.0,3828.0
BALGOWLAH HEIGHTS,2731.0,2752.0,2746.0,2776.0,2807.0,3015.0,3223.0,3429.0,3635.0,325.0,348.0,360.0,372.0,384.0,396.0,407.0,415.0,424.0
BALMAIN,11172.0,11609.0,11619.0,11622.0,11644.0,11671.0,12041.0,12705.0,13563.0,4778.0,4954.0,5116.0,6390.0,6793.0,7147.0,7471.0,7763.0,8062.0
BALMAIN EAST,2057.0,2077.0,2077.0,2077.0,2078.0,2081.0,2098.0,2131.0,2175.0,666.0,706.0,714.0,1188.0,1244.0,1287.0,1325.0,1361.0,1397.0
BANGOR,6359.0,6417.0,6487.0,6600.0,6769.0,7071.0,7385.0,7714.0,8016.0,1062.0,1166.0,1226.0,1313.0,1413.0,1503.0,1593.0,1674.0,1759.0
BANKSIA,3809.0,3837.0,3996.0,4191.0,4392.0,5343.0,6646.0,7671.0,8494.0,617.0,658.0,719.0,744.0,772.0,821.0,870.0,915.0,965.0
BANKSMEADOW,21.0,46.0,101.0,154.0,187.0,188.0,190.0,191.0,192.0,6956.0,7358.0,7660.0,7901.0,8070.0,8190.0,8308.0,8392.0,8517.0
BANKSTOWN,32353.0,35912.0,40063.0,45182.0,50028.0,53030.0,55463.0,56892.0,62979.0,16767.0,17890.0,20016.0,21443.0,23339.0,24959.0,26384.0,27630.0,28897.0
BANKSTOWN AERODROME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2897.0,3040.0,3050.0,2986.0,3038.0,3079.0,3136.0,3197.0,3298.0
BARANGAROO,202.0,377.0,403.0,559.0,727.0,847.0,951.0,1048.0,1153.0,11673.0,21009.0,22259.0,23782.0,25671.0,27032.0,28289.0,29187.0,30256.0
BARDEN RIDGE,4291.0,4338.0,4390.0,4474.0,4610.0,4860.0,5095.0,5334.0,5554.0,611.0,692.0,729.0,786.0,848.0,903.0,957.0,1008.0,1058.0
BARDIA,1663.0,3925.0,5328.0,5808.0,6177.0,6299.0,6348.0,6372.0,6396.0,106.0,113.0,121.0,121.0,129.0,135.0,140.0,151.0,161.0
BARDWELL PARK,2367.0,2396.0,2856.0,3469.0,4105.0,4450.0,4492.0,4549.0,4735.0,317.0,348.0,385.0,405.0,424.0,453.0,481.0,506.0,532.0
BARDWELL VALLEY,4532.0,4825.0,5234.0,5697.0,6166.0,6459.0,6543.0,6635.0,6865.0,411.0,439.0,482.0,506.0,529.0,567.0,605.0,642.0,682.0
BARGO,5833.0,5957.0,6176.0,6349.0,6528.0,6932.0,7493.0,8191.0,8895.0,1449.0,1538.0,1625.0,1739.0,1880.0,2018.0,2172.0,2237.0,2276.0
BASS HILL,6691.0,6949.0,7489.0,8174.0,9026.0,9800.0,10533.0,11332.0,11686.0,1696.0,1714.0,1822.0,1906.0,1983.0,2059.0,2140.0,2212.0,2311.0
BAULKHAM HILLS,34659.0,36068.0,37123.0,37841.0,39042.0,43970.0,50751.0,59270.0,59991.0,6017.0,6748.0,7313.0,7923.0,8566.0,9149.0,9731.0,10360.0,11048.0
BAYVIEW,3035.0,3083.0,3131.0,3617.0,4072.0,4338.0,4585.0,4771.0,4957.0,648.0,679.0,728.0,791.0,867.0,926.0,982.0,1032.0,1086.0
BEACON HILL,9055.0,9091.0,9128.0,9161.0,9284.0,10367.0,11408.0,12435.0,13497.0,977.0,1034.0,1076.0,1163.0,1261.0,1350.0,1429.0,1497.0,1564.0
BEACONSFIELD,1091.0,1213.0,1264.0,1381.0,1389.0,1405.0,1423.0,1445.0,1448.0,1230.0,1312.0,1340.0,1411.0,1476.0,1545.0,1610.0,1665.0,1721.0
BEAUMONT HILLS,8803.0,8974.0,9119.0,9218.0,9999.0,11023.0,11617.0,11722.0,13425.0,887.0,1086.0,1385.0,1672.0,2050.0,2131.0,2228.0,2311.0,2474.0
BEECROFT,8869.0,9666.0,9895.0,10023.0,10186.0,10662.0,11167.0,11694.0,12228.0,1888.0,2049.0,2297.0,2420.0,2537.0,2712.0,2836.0,2950.0,3101.0
BELFIELD,6618.0,7490.0,8337.0,8575.0,8655.0,8749.0,8915.0,9229.0,9627.0,881.0,928.0,1044.0,1112.0,1188.0,1234.0,1282.0,1328.0,1383.0
BELL,49.0,49.0,50.0,50.0,50.0,51.0,52.0,53.0,54.0,17.0,17.0,18.0,18.0,18.0,19.0,20.0,21.0,22.0
BELLA VISTA,9517.0,10801.0,13471.0,16716.0,19156.0,21327.0,23244.0,24776.0,26800.0,15849.0,18214.0,19045.0,21003.0,24271.0,26813.0,29904.0,32530.0,34999.0
BELLEVUE HILL,10213.0,10289.0,10341.0,10442.0,10527.0,11220.0,11497.0,11807.0,12033.0,1445.0,1534.0,1589.0,1666.0,1750.0,1876.0,1933.0,1978.0,2026.0
BELMORE,13287.0,14651.0,17116.0,20087.0,22432.0,23745.0,24892.0,25937.0,27244.0,3500.0,3617.0,3992.0,4286.0,4601.0,4804.0,5009.0,5214.0,5450.0
BELROSE,6151.0,6201.0,6248.0,6263.0,6298.0,6736.0,7155.0,7557.0,8000.0,6142.0,6332.0,6369.0,6625.0,6974.0,7312.0,7605.0,7847.0,8116.0
BERALA,9280.0,9470.0,9546.0,9632.0,9734.0,10037.0,10538.0,11027.0,11290.0,1152.0,1231.0,1334.0,1415.0,1499.0,1572.0,1654.0,1728.0,1811.0
BERKSHIRE PARK,2209.0,2325.0,2432.0,2543.0,2673.0,2855.0,3038.0,3221.0,3406.0,944.0,1056.0,1108.0,1162.0,1233.0,1343.0,1438.0,1559.0,1675.0
BEROWRA,5021.0,5113.0,5244.0,5449.0,5735.0,6135.0,6574.0,7045.0,7417.0,648.0,697.0,744.0,790.0,840.0,900.0,954.0,1003.0,1049.0
BEROWRA HEIGHTS,5243.0,5354.0,5451.0,5581.0,5848.0,6444.0,7072.0,7702.0,8108.0,790.0,823.0,874.0,923.0,977.0,1041.0,1104.0,1160.0,1214.0
BEVERLEY PARK,3048.0,3131.0,3259.0,3391.0,3577.0,3733.0,3843.0,3911.0,4021.0,930.0,967.0,1056.0,1128.0,1225.0,1292.0,1359.0,1422.0,1491.0
BEVERLY HILLS,11969.0,12309.0,12619.0,12884.0,13240.0,14231.0,15255.0,16273.0,17296.0,1878.0,1994.0,2154.0,2280.0,2441.0,2573.0,2701.0,2815.0,2942.0
BEXLEY,20686.0,21698.0,22294.0,22648.0,22908.0,23644.0,24545.0,25507.0,26545.0,3219.0,3571.0,3997.0,4198.0,4362.0,4673.0,4984.0,5285.0,5599.0
BEXLEY NORTH,4373.0,4629.0,4706.0,4744.0,4773.0,4973.0,5278.0,5593.0,5905.0,629.0,698.0,775.0,815.0,848.0,905.0,962.0,1017.0,1073.0
BICKLEY VALE,948.0,972.0,983.0,984.0,984.0,985.0,986.0,988.0,990.0,985.0,1124.0,1243.0,1311.0,1392.0,1651.0,1955.0,2435.0,2887.0
BIDWILL,4398.0,4569.0,4829.0,5055.0,5280.0,5357.0,5495.0,5669.0,5910.0,344.0,372.0,396.0,420.0,452.0,480.0,510.0,538.0,564.0
BILGOLA BEACH,2183.0,2212.0,2234.0,2271.0,2408.0,2515.0,2619.0,2713.0,2860.0,441.0,467.0,502.0,542.0,588.0,625.0,660.0,689.0,719.0
BILGOLA PLATEAU,1235.0,1251.0,1268.0,1294.0,1386.0,1461.0,1531.0,1595.0,1682.0,220.0,242.0,262.0,285.0,311.0,332.0,352.0,368.0,385.0
BILPIN,1089.0,1092.0,1092.0,1097.0,1113.0,1113.0,1114.0,1114.0,1114.0,172.0,182.0,185.0,190.0,197.0,208.0,216.0,225.0,237.0
BIRCHGROVE,3396.0,3406.0,3406.0,3405.0,3408.0,3412.0,3444.0,3508.0,3590.0,489.0,515.0,526.0,604.0,643.0,680.0,713.0,742.0,772.0
BIRRONG,3236.0,3317.0,3420.0,3666.0,4142.0,4499.0,4712.0,4848.0,5320.0,534.0,567.0,600.0,631.0,657.0,681.0,710.0,737.0,769.0
BLACKETT,3570.0,3676.0,3757.0,3801.0,3844.0,3905.0,4004.0,4125.0,4292.0,161.0,171.0,178.0,184.0,194.0,203.0,213.0,222.0,231.0
BLACKHEATH,1932.0,1942.0,1957.0,1959.0,1985.0,2084.0,2196.0,2317.0,2382.0,239.0,256.0,269.0,277.0,289.0,302.0,315.0,331.0,349.0
BLACKTOWN,48620.0,53037.0,57847.0,62447.0,68666.0,71891.0,76305.0,81632.0,83017.0,22094.0,23456.0,25103.0,26844.0,29024.0,31218.0,33605.0,35818.0,37896.0
BLAIR ATHOL,1816.0,1858.0,1965.0,2056.0,2179.0,2217.0,2232.0,2240.0,2248.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0
BLAIRMOUNT,591.0,608.0,616.0,620.0,623.0,705.0,793.0,882.0,971.0,212.0,230.0,229.0,230.0,229.0,242.0,253.0,269.0,286.0
BLAKEHURST,6149.0,6229.0,6354.0,6479.0,6641.0,6781.0,6879.0,6939.0,7080.0,1014.0,1096.0,1177.0,1242.0,1327.0,1397.0,1465.0,1525.0,1592.0
BLAXLAND,7760.0,7787.0,7877.0,7892.0,8034.0,8341.0,8671.0,9029.0,9290.0,1877.0,1960.0,2029.0,2077.0,2151.0,2242.0,2324.0,2422.0,2545.0
BLIGH PARK,6539.0,6603.0,6664.0,6746.0,6834.0,7399.0,7966.0,8582.0,9203.0,563.0,582.0,593.0,605.0,624.0,664.0,699.0,733.0,775.0
BLUE MOUNTAINS NATIONAL PARK,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,18.0,74.0,122.0,125.0,125.0,129.0,136.0,142.0,142.0,147.0
BONDI,9123.0,9459.0,9578.0,9702.0,9941.0,10660.0,11382.0,11985.0,12592.0,1817.0,1939.0,1985.0,2092.0,2235.0,2384.0,2521.0,2641.0,2760.0
BONDI BEACH,10741.0,10985.0,11105.0,11286.0,11657.0,12684.0,13628.0,14355.0,15087.0,2912.0,3134.0,3259.0,3404.0,3596.0,3800.0,3984.0,4142.0,4305.0
BONDI JUNCTION,10114.0,11319.0,11792.0,12096.0,12277.0,12954.0,13804.0,14564.0,15328.0,15144.0,16021.0,16537.0,17358.0,18430.0,19515.0,20497.0,21340.0,22226.0
BONNET BAY,2190.0,2192.0,2193.0,2194.0,2215.0,2305.0,2381.0,2438.0,2588.0,196.0,220.0,233.0,248.0,266.0,282.0,297.0,310.0,325.0
BONNYRIGG,8980.0,10211.0,12268.0,14164.0,16046.0,17545.0,17743.0,17956.0,18170.0,1784.0,1840.0,1876.0,1989.0,2136.0,2271.0,2356.0,2465.0,2621.0
BONNYRIGG HEIGHTS,7579.0,7727.0,7915.0,8082.0,8336.0,8813.0,9362.0,9955.0,10554.0,784.0,842.0,879.0,945.0,1010.0,1087.0,1143.0,1208.0,1284.0
BOSSLEY PARK,13200.0,13458.0,14030.0,14545.0,15252.0,16359.0,17582.0,18904.0,20237.0,1446.0,1538.0,1596.0,1687.0,1794.0,1936.0,2041.0,2175.0,2327.0
BOTANY,11281.0,13507.0,14872.0,15720.0,16260.0,17806.0,19328.0,20818.0,22320.0,8806.0,9441.0,10027.0,10347.0,10669.0,11071.0,11458.0,11791.0,12160.0
BOTANY BAY,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,446.0,495.0,511.0,537.0,559.0,576.0,590.0,601.0,614.0
BOW BOWING,3321.0,3404.0,3689.0,3913.0,4199.0,4519.0,4920.0,5378.0,5839.0,145.0,156.0,179.0,190.0,209.0,213.0,215.0,224.0,233.0
BOWEN MOUNTAIN,3356.0,3420.0,3489.0,3573.0,3651.0,3848.0,4042.0,4251.0,4461.0,287.0,313.0,322.0,332.0,349.0,370.0,390.0,413.0,442.0
BOX HILL,980.0,5468.0,12709.0,18662.0,28206.0,30072.0,31137.0,31297.0,34302.0,511.0,2366.0,3999.0,7937.0,11445.0,12638.0,13599.0,14279.0,15130.0
BRADBURY,9069.0,9331.0,9801.0,10162.0,10618.0,11407.0,12369.0,13457.0,14553.0,928.0,989.0,1087.0,1144.0,1217.0,1244.0,1254.0,1300.0,1350.0
BREAKFAST POINT,4746.0,6112.0,7434.0,8023.0,8387.0,9077.0,9844.0,10667.0,11785.0,1148.0,1234.0,1345.0,1414.0,1483.0,1566.0,1649.0,1726.0,1807.0
BRIGHTON-LE-SANDS,9129.0,9548.0,9822.0,9980.0,10088.0,10362.0,10667.0,10992.0,11367.0,1885.0,2017.0,2234.0,2343.0,2450.0,2617.0,2779.0,2929.0,3088.0
BRINGELLY,2569.0,2946.0,4020.0,8400.0,18532.0,28191.0,31692.0,33761.0,38005.0,726.0,1665.0,3173.0,5227.0,8636.0,12317.0,15937.0,18275.0,20874.0
BRONTE,7392.0,7492.0,7521.0,7566.0,7684.0,8024.0,8365.0,8791.0,9223.0,1477.0,1587.0,1640.0,1737.0,1859.0,1989.0,2105.0,2207.0,2311.0
BROOKLYN,752.0,783.0,798.0,816.0,834.0,858.0,891.0,929.0,977.0,283.0,291.0,298.0,308.0,324.0,341.0,358.0,372.0,388.0
BROOKVALE,3401.0,3490.0,3665.0,3954.0,4257.0,4629.0,5047.0,5522.0,5824.0,16471.0,16788.0,16753.0,17353.0,18267.0,19117.0,19866.0,20489.0,21173.0
BULLABURRA,1271.0,1277.0,1302.0,1306.0,1346.0,1385.0,1425.0,1468.0,1504.0,106.0,109.0,112.0,114.0,118.0,122.0,126.0,132.0,139.0
BUNDEENA,2035.0,2066.0,2080.0,2090.0,2116.0,2206.0,2286.0,2345.0,2497.0,366.0,385.0,400.0,428.0,460.0,488.0,515.0,537.0,560.0
BUNGARRIBEE,2732.0,2778.0,2773.0,2759.0,2858.0,3197.0,3540.0,3844.0,4275.0,567.0,586.0,609.0,632.0,672.0,704.0,739.0,775.0,810.0
BURRANEER,3519.0,3595.0,3641.0,3692.0,3774.0,3947.0,4105.0,4239.0,4477.0,661.0,709.0,738.0,788.0,845.0,899.0,949.0,991.0,1036.0
BURWOOD,17223.0,20973.0,24118.0,26966.0,31203.0,33451.0,35471.0,37626.0,40075.0,12822.0,13193.0,14205.0,14986.0,16281.0,17488.0,18536.0,19466.0,20430.0
BUSBY,4427.0,4621.0,4850.0,5079.0,5251.0,5976.0,6772.0,7689.0,7694.0,281.0,326.0,474.0,605.0,760.0,846.0,891.0,942.0,1064.0
BUXTON,2088.0,2127.0,2155.0,2168.0,2178.0,2194.0,2212.0,2232.0,2253.0,151.0,158.0,181.0,199.0,222.0,241.0,261.0,271.0,274.0
CABARITA,2808.0,2828.0,2849.0,2866.0,2897.0,2978.0,3058.0,3142.0,3166.0,312.0,354.0,384.0,400.0,421.0,445.0,469.0,491.0,515.0
CABRAMATTA,22830.0,23290.0,23799.0,24348.0,25124.0,26966.0,28971.0,31119.0,33284.0,6101.0,6404.0,6524.0,6842.0,7240.0,7774.0,8144.0,8748.0,9378.0
CABRAMATTA WEST,7441.0,7619.0,7633.0,7633.0,7641.0,7888.0,8153.0,8439.0,8728.0,633.0,653.0,629.0,583.0,571.0,623.0,663.0,708.0,763.0
CADDENS,1514.0,2157.0,3371.0,4086.0,4764.0,4785.0,4808.0,4833.0,4859.0,1651.0,1861.0,2008.0,2170.0,2338.0,2560.0,2801.0,3075.0,3354.0
CAMBRIDGE GARDENS,2072.0,2101.0,2127.0,2155.0,2182.0,2622.0,3053.0,3478.0,3906.0,447.0,491.0,499.0,524.0,553.0,573.0,607.0,652.0,708.0
CAMBRIDGE PARK,6805.0,6974.0,7159.0,7374.0,7589.0,8880.0,10162.0,11448.0,12744.0,516.0,581.0,620.0,671.0,717.0,768.0,824.0,896.0,971.0
CAMDEN,3293.0,3604.0,3826.0,3971.0,4111.0,4448.0,4988.0,5657.0,6333.0,4289.0,4901.0,5316.0,5658.0,6056.0,7041.0,8142.0,9973.0,11495.0
CAMDEN PARK,2288.0,2367.0,2517.0,2547.0,2553.0,2558.0,2564.0,2570.0,2575.0,99.0,110.0,119.0,128.0,139.0,156.0,176.0,178.0,179.0
CAMDEN SOUTH,4655.0,4747.0,4852.0,4918.0,4977.0,5235.0,5682.0,6255.0,6833.0,510.0,555.0,588.0,625.0,669.0,769.0,878.0,1061.0,1207.0
CAMELLIA,1.0,1.0,475.0,1232.0,2221.0,2457.0,2504.0,2550.0,2646.0,615.0,661.0,787.0,929.0,1098.0,1147.0,1206.0,1269.0,1323.0
CAMMERAY,8364.0,8649.0,8891.0,9135.0,9492.0,9971.0,10488.0,10973.0,11552.0,1871.0,1972.0,2057.0,2200.0,2351.0,2498.0,2633.0,2749.0,2867.0
CAMPBELLTOWN,14045.0,17200.0,20626.0,23072.0,26259.0,27729.0,28754.0,29677.0,30609.0,19198.0,20493.0,22206.0,23656.0,25193.0,26771.0,28918.0,32074.0,34240.0
CAMPERDOWN,9446.0,9786.0,10066.0,10764.0,11812.0,12716.0,13633.0,14555.0,15541.0,17311.0,18781.0,19207.0,20606.0,21920.0,23237.0,24584.0,25917.0,27288.0
CAMPSIE,23296.0,25954.0,31709.0,36721.0,40857.0,44579.0,48243.0,51543.0,54294.0,6676.0,7308.0,8211.0,8940.0,9640.0,10108.0,10645.0,11143.0,11674.0
CANLEY HEIGHTS,11874.0,12227.0,12484.0,12849.0,13460.0,14128.0,14963.0,15875.0,16793.0,1186.0,1223.0,1232.0,1273.0,1334.0,1284.0,1256.0,1260.0,1211.0
CANLEY VALE,9585.0,9749.0,10066.0,10414.0,10906.0,11291.0,11774.0,12299.0,12831.0,1557.0,1695.0,1742.0,1812.0,1905.0,1834.0,1799.0,1788.0,1729.0
CANOELANDS,113.0,114.0,114.0,115.0,117.0,123.0,129.0,136.0,143.0,138.0,148.0,151.0,158.0,167.0,177.0,186.0,194.0,202.0
CANTERBURY,9864.0,13764.0,17170.0,21145.0,24247.0,26660.0,29076.0,31266.0,32993.0,1700.0,1764.0,1917.0,2049.0,2187.0,2290.0,2402.0,2505.0,2609.0
CARINGBAH,12209.0,12856.0,13618.0,14783.0,15891.0,16843.0,17811.0,18770.0,19789.0,13779.0,14219.0,14421.0,15145.0,16168.0,17080.0,17971.0,18763.0,19644.0
CARINGBAH SOUTH,12495.0,12807.0,13127.0,13614.0,14203.0,15036.0,15986.0,17046.0,17682.0,1093.0,1146.0,1181.0,1252.0,1341.0,1423.0,1498.0,1562.0,1627.0
CARLINGFORD,26402.0,30267.0,32229.0,33605.0,34816.0,38386.0,42100.0,45753.0,46377.0,5239.0,5692.0,6315.0,6740.0,7163.0,7625.0,8085.0,8516.0,8797.0
CARLTON,8944.0,9216.0,9590.0,9899.0,10253.0,10679.0,11155.0,11637.0,12144.0,1878.0,1979.0,2094.0,2178.0,2304.0,2412.0,2514.0,2606.0,2710.0
CARNES HILL,3757.0,4307.0,6326.0,7691.0,8823.0,9019.0,10077.0,11572.0,14582.0,1059.0,1110.0,1391.0,1644.0,1907.0,1934.0,2002.0,2026.0,2336.0
CARRAMAR,3673.0,3770.0,3833.0,3906.0,4032.0,4492.0,4994.0,5523.0,6057.0,802.0,900.0,1023.0,1156.0,1283.0,1406.0,1521.0,1646.0,1772.0
CARSS PARK,1595.0,1652.0,1747.0,1846.0,1984.0,2101.0,2182.0,2231.0,2286.0,339.0,361.0,391.0,413.0,444.0,468.0,492.0,513.0,536.0
CARTWRIGHT,2434.0,2706.0,3096.0,3506.0,3807.0,5322.0,7039.0,9027.0,9032.0,168.0,183.0,203.0,218.0,226.0,246.0,275.0,309.0,335.0
CASTLE COVE,2689.0,2701.0,2713.0,2730.0,2759.0,2895.0,3037.0,3183.0,3307.0,504.0,533.0,562.0,587.0,617.0,641.0,661.0,681.0,702.0
CASTLE HILL,41291.0,43391.0,48285.0,53152.0,62134.0,66803.0,71228.0,75198.0,79378.0,22113.0,25259.0,28643.0,30995.0,33631.0,35897.0,38709.0,41351.0,44069.0
CASTLECRAG,2835.0,2841.0,2848.0,2859.0,2895.0,3012.0,3111.0,3188.0,3319.0,734.0,746.0,764.0,792.0,824.0,850.0,875.0,899.0,923.0
CASTLEREAGH,3444.0,3955.0,4467.0,5923.0,8260.0,8262.0,8264.0,8266.0,8268.0,1079.0,1174.0,1222.0,1252.0,1270.0,1293.0,1308.0,1351.0,1407.0
CASULA,16254.0,17395.0,18813.0,19930.0,20658.0,22892.0,25760.0,29235.0,29943.0,3541.0,3821.0,3989.0,4222.0,4326.0,4389.0,4658.0,4989.0,5292.0
