Locality,LGA,Split_id,ERP_2016,ERP_2056,EMP_2016,EMP_2056
NORTH RYDE,Ryde (C),1089,10572.0,23825.0,14148.0,22660.0
NORTH ST MARYS,Penrith (C),657,4019.0,7003.0,1756.0,4215.0
NORTH STRATHFIELD,Canada Bay (A),1186,3763.0,13833.0,2666.0,5157.0
NORTH SYDNEY,North Sydney (A),917,7674.0,18724.0,52012.0,78719.0
NORTH TURRAMURRA,Ku-ring-gai (A),108,4348.0,6232.0,1531.0,2436.0
NORTH WAHROONGA,Ku-ring-gai (A),616,2435.0,2931.0,250.0,387.0
NORTH WILLOUGHBY,Willoughby (C),143,5733.0,6843.0,1815.0,2440.0
NORTHBRIDGE,Willoughby (C),406,6630.0,8812.0,2086.0,2669.0
NORTHMEAD,Parramatta (C),399,13038.0,19689.0,5424.0,8154.0
NORTHWOOD,Lane Cove (A),624,1013.0,1477.0,162.0,209.0
NORWEST,The Hills Shire (A),58,1217.0,19561.0,11018.0,23802.0
OAKDALE,Wollondilly (A),368,5068.0,5571.0,1031.0,1360.0
OAKHURST,Blacktown (C),604,7158.0,8233.0,453.0,677.0
OAKVILLE,Hawkesbury (C),1194,1685.0,1655.0,805.0,1607.0
OATLANDS,Parramatta (C),1017,5503.0,8811.0,824.0,1392.0
OATLEY,Georges River (A),1011,10417.0,15341.0,1784.0,2827.0
OLD GUILDFORD,Fairfield (C),1264,4364.0,5930.0,1406.0,2242.0
ORAN PARK,Camden (A),631,4895.0,40791.0,1053.0,13205.0
ORANGEVILLE,Wollondilly (A),425,2934.0,2944.0,576.0,811.0
ORCHARD HILLS,Penrith (C),586,1946.0,42586.0,1353.0,6924.0
OXFORD FALLS,Northern Beaches (A),1143,3036.0,4413.0,990.0,1542.0
OXLEY PARK,Penrith (C),62,3255.0,6899.0,292.0,609.0
OYSTER BAY,Sutherland Shire (A),1004,5317.0,6786.0,463.0,739.0
PADDINGTON,Sydney (C),1131,3132.0,3662.0,2164.0,3560.0
PADDINGTON,Woollahra (A),1132,10559.0,11868.0,4129.0,5671.0
PADSTOW,Canterbury-Bankstown (A),480,14490.0,20595.0,8151.0,10263.0
PADSTOW HEIGHTS,Canterbury-Bankstown (A),565,2633.0,3544.0,265.0,396.0
PAGEWOOD,Botany Bay (C),675,3961.0,7295.0,1556.0,2294.0
PALM BEACH,Northern Beaches (A),1175,1869.0,2493.0,861.0,1284.0
PANANIA,Canterbury-Bankstown (A),546,15092.0,20583.0,1780.0,2482.0
PARKLEA,Blacktown (C),802,2905.0,4161.0,558.0,1272.0
PARRAMATTA,Parramatta (C),427,25873.0,71255.0,54000.0,133401.0
PEAKHURST,Georges River (A),1312,10358.0,17120.0,5810.0,7552.0
PEAKHURST HEIGHTS,Georges River (A),954,2429.0,3790.0,340.0,585.0
PEMULWUY,Cumberland (A),888,5189.0,10622.0,4233.0,5905.0
PENDLE HILL,Cumberland (A),463,6449.0,8802.0,1152.0,1887.0
PENDLE HILL,Parramatta (C),464,1112.0,1664.0,1144.0,1710.0
PENNANT HILLS,Hornsby (A),1332,8380.0,12645.0,3882.0,6286.0
PENRITH,Penrith (C),689,13782.0,36156.0,23501.0,37879.0
PENSHURST,Georges River (A),379,13983.0,17030.0,1816.0,2874.0
PETERSHAM,Inner West (A),214,9690.0,15245.0,2598.0,4331.0
PHILLIP BAY,Randwick (C),928,2682.0,3735.0,281.0,464.0
PICNIC POINT,Canterbury-Bankstown (A),696,5230.0,7573.0,598.0,854.0
PICTON,Wollondilly (A),823,4627.0,6854.0,2834.0,5253.0
PITT TOWN,Hawkesbury (C),1095,3384.0,5086.0,723.0,1430.0
PLEASURE POINT,Liverpool (C),717,1161.0,2276.0,156.0,250.0
PLUMPTON,Blacktown (C),722,9525.0,12844.0,1601.0,2290.0
POINT PIPER,Woollahra (A),566,2312.0,2719.0,1201.0,1758.0
PORT BOTANY,Randwick (C),805,0.0,0.0,1808.0,2053.0
PORT HACKING,Sutherland Shire (A),953,1828.0,2396.0,255.0,408.0
POTTS HILL,Canterbury-Bankstown (A),442,939.0,1644.0,947.0,1878.0
POTTS POINT,Sydney (C),434,8679.0,11555.0,8395.0,12150.0
PRAIRIEWOOD,Fairfield (C),762,3362.0,5743.0,3468.0,5773.0
PRESTONS,Liverpool (C),513,15884.0,21793.0,11169.0,15079.0
PROSPECT,Blacktown (C),381,4887.0,6436.0,5710.0,8304.0
PUNCHBOWL,Canterbury-Bankstown (A),486,20662.0,39177.0,3177.0,4979.0
PUTNEY,Ryde (C),5,4273.0,6546.0,731.0,1218.0
PYMBLE,Ku-ring-gai (A),1244,11508.0,18970.0,5666.0,8547.0
PYRMONT,Sydney (C),1046,13674.0,20645.0,24621.0,37662.0
QUAKERS HILL,Blacktown (C),702,29273.0,42975.0,3858.0,9599.0
QUEENS PARK,Waverley (A),99,3295.0,4252.0,852.0,1422.0
QUEENSCLIFF,Northern Beaches (A),904,4530.0,4936.0,561.0,811.0
RABY,Campbelltown (C) (NSW),57,6100.0,9987.0,555.0,734.0
RAMSGATE,Rockdale (C),17,2839.0,3860.0,197.0,326.0
RANDWICK,Randwick (C),390,31807.0,51673.0,18397.0,31339.0
RAZORBACK,Wollondilly (A),740,1502.0,7930.0,400.0,1656.0
REDFERN,Sydney (C),507,13975.0,22202.0,8057.0,16305.0
REGENTS PARK,Canterbury-Bankstown (A),1254,729.0,1520.0,771.0,1079.0
REGENTS PARK,Cumberland (A),1255,4515.0,5703.0,2562.0,3957.0
REGENTVILLE,Penrith (C),540,654.0,1146.0,623.0,1189.0
REVESBY,Canterbury-Bankstown (A),484,14365.0,20163.0,7301.0,9349.0
REVESBY HEIGHTS,Canterbury-Bankstown (A),871,2470.0,3382.0,225.0,334.0
RHODES,Canada Bay (A),619,12567.0,24103.0,12624.0,23527.0
RICHMOND,Hawkesbury (C),1297,5505.0,8579.0,6893.0,10000.0
RIVERSTONE,Blacktown (C),583,7434.0,51544.0,4171.0,12495.0
RIVERVIEW,Lane Cove (A),396,3501.0,5134.0,793.0,1429.0
RIVERWOOD,Canterbury-Bankstown (A),798,6644.0,14049.0,2669.0,3274.0
RIVERWOOD,Georges River (A),799,6186.0,8715.0,1622.0,2345.0
ROCKDALE,Rockdale (C),1040,17313.0,27856.0,6272.0,9549.0
RODD POINT,Canada Bay (A),589,3018.0,3362.0,319.0,551.0
ROOKWOOD,Cumberland (A),1321,3.0,6.0,182.0,298.0
ROOTY HILL,Blacktown (C),666,16046.0,23588.0,3926.0,5981.0
ROPES CROSSING,Blacktown (C),853,6324.0,13617.0,552.0,734.0
ROSE BAY,Waverley (A),310,3383.0,4039.0,635.0,1000.0
ROSE BAY,Woollahra (A),311,7776.0,9744.0,3232.0,4375.0
ROSEBERY,Botany Bay (C),226,2913.0,5739.0,715.0,1372.0
ROSEBERY,Sydney (C),227,7816.0,22243.0,6291.0,9061.0
ROSEHILL,Parramatta (C),364,3280.0,22687.0,5671.0,10671.0
ROSELANDS,Canterbury-Bankstown (A),479,13567.0,17843.0,3320.0,5165.0
ROSEMEADOW,Campbelltown (C) (NSW),783,8198.0,13320.0,1211.0,1767.0
ROSEVILLE,Ku-ring-gai (A),1137,6236.0,11621.0,1469.0,2318.0
ROSEVILLE,Willoughby (C),1138,3801.0,4562.0,654.0,784.0
ROSEVILLE CHASE,Ku-ring-gai (A),1165,3249.0,3810.0,479.0,741.0
ROSSMORE,Camden (A),139,580.0,10542.0,236.0,2200.0
ROSSMORE,Liverpool (C),140,1789.0,24678.0,587.0,2639.0
ROUSE HILL,Blacktown (C),259,462.0,25774.0,378.0,2853.0
ROUSE HILL,The Hills Shire (A),260,8284.0,20733.0,4479.0,13904.0
ROYAL NATIONAL PARK,Sutherland Shire (A),1188,552.0,854.0,204.0,297.0
ROZELLE,Inner West (A),1327,9149.0,19277.0,4320.0,14387.0
RUSE,Campbelltown (C) (NSW),248,5736.0,9233.0,450.0,550.0
RUSHCUTTERS BAY,Sydney (C),179,4064.0,4550.0,910.0,1374.0
RUSSELL LEA,Canada Bay (A),224,3684.0,4221.0,373.0,626.0
RYDALMERE,Parramatta (C),402,7306.0,10744.0,10902.0,14400.0
RYDE,Ryde (C),556,28307.0,50699.0,8846.0,14254.0
SADLEIR,Liverpool (C),225,3249.0,5624.0,238.0,829.0
SANDRINGHAM,Rockdale (C),980,3173.0,3643.0,362.0,614.0
SANS SOUCI,Georges River (A),1064,2723.0,4429.0,747.0,1156.0
SANS SOUCI,Rockdale (C),1065,8043.0,10260.0,1548.0,2554.0
SCHOFIELDS,Blacktown (C),256,4039.0,55079.0,1550.0,5340.0
SCOTLAND ISLAND,Northern Beaches (A),42,599.0,1489.0,87.0,138.0
SEAFORTH,Northern Beaches (A),12,7458.0,10067.0,1636.0,1861.0
SEFTON,Canterbury-Bankstown (A),569,6154.0,9585.0,1488.0,1998.0
SEVEN HILLS,Blacktown (C),301,20533.0,32427.0,17006.0,19642.0
SHALVEY,Blacktown (C),626,3568.0,4287.0,277.0,445.0
SHANES PARK,Blacktown (C),1289,415.0,558.0,245.0,2014.0
SILVERDALE,Wollondilly (A),230,5337.0,9144.0,1119.0,1639.0
SILVERWATER,Parramatta (C),385,3571.0,6423.0,14322.0,23467.0
SMEATON GRANGE,Camden (A),44,65.0,1892.0,7506.0,12990.0
SMITHFIELD,Cumberland (A),538,12.0,12.0,12477.0,15424.0
SMITHFIELD,Fairfield (C),539,12724.0,19558.0,3579.0,4861.0
SOUTH COOGEE,Randwick (C),738,5911.0,8708.0,629.0,1072.0
SOUTH GRANVILLE,Cumberland (A),1043,7742.0,11284.0,936.0,1567.0
SOUTH HURSTVILLE,Georges River (A),587,6880.0,12907.0,1231.0,1904.0
SOUTH MAROOTA,The Hills Shire (A),1024,1170.0,1423.0,279.0,405.0
SOUTH PENRITH,Penrith (C),894,12117.0,21305.0,2277.0,3842.0
SOUTH TURRAMURRA,Ku-ring-gai (A),190,3560.0,4249.0,536.0,855.0
SOUTH WENTWORTHVILLE,Cumberland (A),1324,6844.0,9952.0,635.0,1032.0
SOUTH WINDSOR,Hawkesbury (C),532,6757.0,8908.0,4033.0,4974.0
SPRING FARM,Camden (A),1284,4425.0,52616.0,882.0,1637.0
SPRINGWOOD,Blue Mountains (C),629,11994.0,13704.0,3356.0,4627.0
ST ANDREWS,Campbelltown (C) (NSW),327,4243.0,6943.0,325.0,491.0
ST CLAIR,Penrith (C),668,20548.0,33262.0,2195.0,3136.0
ST HELENS PARK,Campbelltown (C) (NSW),304,6807.0,10293.0,371.0,531.0
ST IVES,Ku-ring-gai (A),836,17926.0,24599.0,4680.0,7219.0
ST IVES CHASE,Ku-ring-gai (A),1015,3267.0,3884.0,277.0,442.0
ST JOHNS PARK,Fairfield (C),852,6291.0,8465.0,716.0,1196.0
ST LEONARDS,Lane Cove (A),1161,1639.0,6404.0,7639.0,9333.0
ST LEONARDS,North Sydney (A),1162,3460.0,7383.0,6508.0,7838.0
ST LEONARDS,Willoughby (C),1163,1429.0,3490.0,11109.0,12614.0
ST MARYS,Penrith (C),424,12477.0,35351.0,10178.0,24414.0
ST PETERS,Inner West (A),430,3294.0,7672.0,3151.0,4460.0
ST PETERS,Sydney (C),431,16.0,24.0,1183.0,1583.0
STANHOPE GARDENS,Blacktown (C),1127,12825.0,16280.0,2330.0,5648.0
STANMORE,Inner West (A),1238,7525.0,9523.0,2486.0,4169.0
STRATHFIELD,Burwood (A),1307,5057.0,7907.0,2201.0,4017.0
STRATHFIELD,Canada Bay (A),1308,2794.0,4767.0,178.0,587.0
STRATHFIELD,Strathfield (A),1310,18443.0,26845.0,6481.0,9901.0
STRATHFIELD SOUTH,Strathfield (A),1294,3743.0,5157.0,3380.0,5079.0
SUMMER HILL,Inner West (A),1232,7314.0,10566.0,2179.0,3586.0
SUN VALLEY,Blue Mountains (C),236,1231.0,1532.0,295.0,343.0
SURRY HILLS,Sydney (C),1313,17745.0,22200.0,34718.0,52753.0
SUTHERLAND,Sutherland Shire (A),1226,12067.0,18638.0,5721.0,10249.0
SYDENHAM,Inner West (A),325,2556.0,3040.0,751.0,1041.0
SYDNEY,Sydney (C),1032,19624.0,30759.0,324939.0,501862.0
SYDNEY OLYMPIC PARK,Parramatta (C),1252,1841.0,34766.0,13188.0,30860.0
SYLVANIA,Sutherland Shire (A),1063,11561.0,17321.0,2850.0,4282.0
SYLVANIA WATERS,Sutherland Shire (A),127,2422.0,3372.0,265.0,385.0
TAHMOOR,Wollondilly (A),821,5100.0,8836.0,1422.0,2664.0
TAMARAMA,Waverley (A),803,3142.0,3927.0,543.0,829.0
TAREN POINT,Sutherland Shire (A),220,2772.0,3869.0,3881.0,4756.0
TELOPEA,Parramatta (C),29,8095.0,17060.0,818.0,1331.0
TEMPE,Inner West (A),366,2414.0,3004.0,1987.0,2930.0
TENNYSON POINT,Ryde (C),621,2321.0,5160.0,1208.0,1776.0
THE PONDS,Blacktown (C),1329,10550.0,26285.0,513.0,1906.0
THE ROCKS,Sydney (C),318,839.0,1337.0,13610.0,19613.0
THIRLMERE,Wollondilly (A),822,4864.0,12621.0,740.0,1314.0
THORNLEIGH,Hornsby (A),403,9177.0,12717.0,4575.0,6979.0
TOONGABBIE,Blacktown (C),901,7667.0,12740.0,1430.0,2277.0
TOONGABBIE,Parramatta (C),903,9826.0,12879.0,914.0,1458.0
TREGEAR,Blacktown (C),1149,3997.0,5059.0,251.0,361.0
TURRAMURRA,Ku-ring-gai (A),1117,12029.0,19460.0,2595.0,3909.0
TURRELLA,Rockdale (C),1042,1869.0,4289.0,1034.0,1290.0
ULTIMO,Sydney (C),995,9435.0,16315.0,19348.0,29339.0
VARROVILLE,Campbelltown (C) (NSW),650,122.0,137.0,218.0,293.0
VAUCLUSE,Waverley (A),374,3075.0,3926.0,343.0,527.0
VAUCLUSE,Woollahra (A),375,6028.0,6931.0,1438.0,2003.0
VILLAWOOD,Canterbury-Bankstown (A),677,3656.0,6900.0,5364.0,5960.0
VILLAWOOD,Fairfield (C),678,3007.0,7440.0,709.0,1191.0
VINEYARD,Blacktown (C),1196,163.0,3883.0,178.0,863.0
VINEYARD,Hawkesbury (C),1197,1032.0,5303.0,537.0,853.0
VOYAGER POINT,Liverpool (C),1268,1722.0,3504.0,101.0,181.0
WAHROONGA,Hornsby (A),728,5391.0,7963.0,1884.0,3021.0
WAHROONGA,Ku-ring-gai (A),729,13979.0,19032.0,6490.0,10468.0
WAITARA,Hornsby (A),975,4519.0,9673.0,860.0,1359.0
WAKELEY,Fairfield (C),913,4884.0,6180.0,953.0,1684.0
WALLACIA,Liverpool (C),231,253.0,838.0,159.0,214.0
WALLACIA,Penrith (C),232,1544.0,1779.0,281.0,438.0
WAREEMBA,Canada Bay (A),648,3303.0,4051.0,489.0,836.0
WARRAWEE,Ku-ring-gai (A),69,2021.0,4086.0,331.0,531.0
WARRIEWOOD,Northern Beaches (A),749,10718.0,16367.0,7419.0,10231.0
WARRIMOO,Blue Mountains (C),526,2516.0,3038.0,307.0,438.0
WARWICK FARM,Liverpool (C),459,6058.0,23971.0,4115.0,6283.0
WATERLOO,Sydney (C),317,15545.0,30239.0,6237.0,8755.0
WATSONS BAY,Woollahra (A),209,905.0,987.0,926.0,1505.0
WATTLE GROVE,Liverpool (C),11,10969.0,13402.0,1065.0,1982.0
WAVERLEY,Waverley (A),773,4653.0,5924.0,1960.0,3186.0
WAVERTON,North Sydney (A),593,4259.0,5643.0,1099.0,1615.0
WEDDERBURN,Campbelltown (C) (NSW),830,647.0,662.0,165.0,206.0
WENTWORTH FALLS,Blue Mountains (C),1049,6194.0,6927.0,1312.0,1865.0
WENTWORTH POINT,Parramatta (C),1154,7312.0,23295.0,343.0,551.0
WENTWORTHVILLE,Cumberland (A),215,8155.0,14978.0,2222.0,3655.0
WENTWORTHVILLE,Parramatta (C),216,4725.0,7169.0,487.0,803.0
WERRINGTON,Penrith (C),545,4134.0,11161.0,1238.0,2580.0
WERRINGTON COUNTY,Penrith (C),41,3813.0,8132.0,587.0,1017.0
WERRINGTON DOWNS,Penrith (C),38,3335.0,6240.0,9.0,16.0
WEST HOXTON,Liverpool (C),672,10404.0,14976.0,1128.0,2727.0
WEST PENNANT HILLS,Hornsby (A),744,3588.0,4584.0,684.0,1146.0
WEST PENNANT HILLS,The Hills Shire (A),746,13183.0,22659.0,3424.0,7181.0
WEST PYMBLE,Ku-ring-gai (A),608,5504.0,6535.0,928.0,1435.0
WEST RYDE,Ryde (C),1078,14396.0,21220.0,4921.0,8111.0
WESTLEIGH,Hornsby (A),920,3810.0,4808.0,392.0,607.0
WESTMEAD,Cumberland (A),562,7227.0,11636.0,535.0,900.0
WESTMEAD,Parramatta (C),563,9504.0,14199.0,15140.0,30474.0
WETHERILL PARK,Fairfield (C),330,5901.0,7384.0,23450.0,30234.0
WHALAN,Blacktown (C),173,6199.0,7088.0,469.0,831.0
WHEELER HEIGHTS,Northern Beaches (A),965,4412.0,6427.0,1085.0,1691.0
WILBERFORCE,Hawkesbury (C),1124,2337.0,3458.0,535.0,768.0
WILEY PARK,Canterbury-Bankstown (A),1119,10685.0,18173.0,842.0,1332.0
WILLMOT,Blacktown (C),761,2490.0,2976.0,19.0,24.0
WILLOUGHBY,Willoughby (C),1164,5054.0,6633.0,2382.0,2839.0
WILLOUGHBY EAST,Willoughby (C),780,2475.0,3178.0,672.0,785.0
WILTON,Wollondilly (A),40,3189.0,33447.0,603.0,4226.0
WINDSOR,Hawkesbury (C),1129,1228.0,3767.0,3188.0,4592.0
WINDSOR DOWNS,Hawkesbury (C),521,1220.0,1279.0,183.0,247.0
WINMALEE,Blue Mountains (C),731,3316.0,3889.0,936.0,1191.0
WINSTON HILLS,Parramatta (C),1115,12507.0,17182.0,3076.0,4921.0
WOLLI CREEK,Rockdale (C),1214,6570.0,24243.0,1161.0,3328.0
WOLLSTONECRAFT,North Sydney (A),4,8462.0,15038.0,2802.0,4676.0
WOMERAH,Hawkesbury (C),242,1187.0,1255.0,371.0,527.0
WOODBINE,Campbelltown (C) (NSW),309,2817.0,5507.0,247.0,354.0
WOODCROFT,Blacktown (C),872,6655.0,7025.0,548.0,711.0
WOODFORD,Blue Mountains (C),1076,1993.0,2264.0,126.0,183.0
WOOLLAHRA,Woollahra (A),1074,8057.0,8677.0,3327.0,4559.0
WOOLLOOMOOLOO,Sydney (C),1215,4784.0,5872.0,4472.0,6441.0
WOOLOOWARE,Sutherland Shire (A),1331,4544.0,9030.0,1287.0,2382.0
WOOLWICH,Hunters Hill (A),31,844.0,998.0,450.0,672.0
WORONORA HEIGHTS,Sutherland Shire (A),1019,3764.0,4528.0,282.0,435.0
YAGOONA,Canterbury-Bankstown (A),551,18375.0,30108.0,1972.0,2764.0
YARRAWARRAH,Sutherland Shire (A),1057,3182.0,3971.0,413.0,669.0
YELLOW ROCK,Blue Mountains (C),527,1487.0,1646.0,332.0,381.0
YENNORA,Cumberland (A),915,14.0,14.0,3714.0,4274.0
YOWIE BAY,Sutherland Shire (A),336,2798.0,3527.0,341.0,509.0
ZETLAND,Sydney (C),126,10706.0,22180.0,3396.0,11614.0
