TZ16_CODE,TZ16_NAME,Tz16_Area,TZprojecti,TZprojec_1,TZprojec_2,TZprojec_3,TZprojec_4,TZprojec_5,TZprojec_6,TZprojec_7,TZprojec_8,TZprojec_9,TZprojec10,TZprojec11,TZprojec12,TZprojec13,TZprojec14,TZprojec15,TZprojec16,TZprojec17,TZprojec18,TZprojec19,TZprojec20,TZprojec21,TZprojec22,TZprojec23,TZprojec24,TZprojec25,TZprojec26,TZprojec27,TZprojec28,TZprojec29,TZprojec30,TZprojec31,TZprojec32,TZprojec33,TZprojec34,TZprojec35,TZprojec36,TZprojec37,TZprojec38,TZprojec39,LOC_PID,NSW_LOCA_2,LGA_CODE16,LGA_NAME16,Split_id,merge_id
"3619",Rossmore Grange,2943256.82518000016,Rossmore Grange,Austral - Greendale,"127011505","11505",Bringelly - Green Valley,"12701",Sydney - South West,"127",Liverpool (C),"14900",Greater Sydney,1GSYD,South West,Residential,294.845393899999976,Remainder,GIC_1,Rossmore,Rossmore,Greenfield,Aerotropolis,Rossmore,"344","368","379","480","2,058","4,272","4,788","5,327","6,220","156","153","186","236","271","293","286","295","358",NSW3451,ROSSMORE,"14900",Liverpool (C),"140","372"
"3620",NSW Animal Welfare League Rossmore,2808010.75969999982,NSW Animal Welfare League Rossmore,Austral - Greendale,"127011505","11505",Bringelly - Green Valley,"12701",Sydney - South West,"127",Liverpool (C),"14900",Greater Sydney,1GSYD,South West,Residential,281.296742400000028,"0",GIC_1,Rossmore,Rossmore,Greenfield,Aerotropolis,Rossmore,"483","539","561","663","2,450","4,863","5,339","5,803","6,674","149","146","178","226","259","281","274","283","343",NSW3451,ROSSMORE,"14900",Liverpool (C),"140","372"
"3631",Rossmore,2664091.75644000014,Rossmore,Austral - Greendale,"127011505","11505",Bringelly - Green Valley,"12701",Sydney - South West,"127",Liverpool (C),"14900",Greater Sydney,1GSYD,South West,Residential,266.877824599999997,Remainder,GIC_1,Rossmore,Rossmore,Greenfield,Aerotropolis,Rossmore,"446","470","470","471","1,457","3,197","3,804","4,170","5,628","130","132","175","226","271","303","314","337","403",NSW3451,ROSSMORE,"14900",Liverpool (C),"140","372"
"3632",Rossmore Trial Track,3140426.27027999982,Rossmore Trial Track,Austral - Greendale,"127011505","11505",Bringelly - Green Valley,"12701",Sydney - South West,"127",Liverpool (C),"14900",Greater Sydney,1GSYD,South West,Residential,314.594756800000027,Remainder,GIC_1,Rossmore,Rossmore,Greenfield,Aerotropolis,Rossmore,"516","539","542","546","1,537","3,681","4,259","4,765","6,156","152","155","206","266","342","401","998","1,387","1,535",NSW3451,ROSSMORE,"14900",Liverpool (C),"140","372"
"4971",Luddenham,10733443.09109999985,Luddenham,Mulgoa - Luddenham - Orchard Hills,"124031463","11463",Penrith,"12403",Sydney - Outer West and Blue Mountains,"124",Liverpool (C),"14900",Greater Sydney,1GSYD,South West,Primary Production,1075.252056999999922,"0",GIC_1,Agriculture and Agribusiness,Agriculture and Agribusiness,Greenfield,Aerotropolis,Agriculture and Agribusiness,"253","259","266","389","726","750","776","807","838","159","166","171","183","190","195","201","209","214",NSW4137,WALLACIA,"14900",Liverpool (C),"231","372"
"3625",Bents Basin Greendale,33871954.84260000288,Bents Basin Greendale,Austral - Greendale,"127011505","11505",Bringelly - Green Valley,"12701",Sydney - South West,"127",Liverpool (C),"14900",Greater Sydney,1GSYD,South West,Primary Production,3393.165043999999853,"0",GIC_1,Agriculture and Agribusiness,Agriculture and Agribusiness,Greenfield,Aerotropolis,Agriculture and Agribusiness,"355","363","410","501","501","501","491","607","603","387","398","521","659","776","885","907","958","1,141",NSW1777,GREENDALE,"14900",Liverpool (C),"269","372"
"3608",Badgerys Creek_Martin Rd and Cuthel St,3516754.59802999999,Badgerys Creek_Martin Rd and Cuthel St,Austral - Greendale,"127011505","11505",Bringelly - Green Valley,"12701",Sydney - South West,"127",Liverpool (C),"14900",Greater Sydney,1GSYD,South West,Residential,352.300847900000008,"0",GIC_1,Badgerys Creek,Badgerys Creek,Greenfield,Aerotropolis,Badgerys Creek,"178","161","151","63","39","17","8","3","0","31","38","56","70","85","99","106","112","132",NSW130,BADGERYS CREEK,"14900",Liverpool (C),"372","372"
"3612",Badgerys Creek_Inghams Multiplication Farm,4855195.74889000040,Badgerys Creek_Inghams Multiplication Farm,Austral - Greendale,"127011505","11505",Bringelly - Green Valley,"12701",Sydney - South West,"127",Liverpool (C),"14900",Greater Sydney,1GSYD,South West,Primary Production,486.379962400000011,"0",GIC_1,Aerotropolis Core,Aerotropolis Core,Greenfield,Aerotropolis,Aerotropolis Core,"18","18","26","27","157","282","295","297","300","184","229","4,334","5,884","6,934","16,773","27,305","41,466","41,841",NSW130,BADGERYS CREEK,"14900",Liverpool (C),"372","372"
"3598",Badgerys Creek_North,3202590.33548999997,Badgerys Creek_North,Badgerys Creek,"127011592","11592",Bringelly - Green Valley,"12701",Sydney - South West,"127",Liverpool (C),"14900",Greater Sydney,1GSYD,South West,Primary Production,320.829350799999986,Stage 1,GIC_1,Western Sydney Airport,Western Sydney Airport,Greenfield,Aerotropolis,Western Sydney Airport,"8","8","4","1","0","0","0","0","0","2","2","664","1,077","1,368","2,731","3,953","4,929","5,066",NSW130,BADGERYS CREEK,"14900",Liverpool (C),"372","372"
"3609",Badgerys Creek_East,1878632.89271000004,Badgerys Creek_East,Badgerys Creek,"127011592","11592",Bringelly - Green Valley,"12701",Sydney - South West,"127",Liverpool (C),"14900",Greater Sydney,1GSYD,South West,Primary Production,188.198219099999989,Stage 1,GIC_1,Western Sydney Airport,Western Sydney Airport,Greenfield,Aerotropolis,Western Sydney Airport,"8","8","4","1","0","1","0","0","0","1","1","370","600","762","1,521","2,201","2,744","2,821",NSW130,BADGERYS CREEK,"14900",Liverpool (C),"372","372"
"3636",Badgerys Creek_South,4655192.63069000002,Badgerys Creek_South,Badgerys Creek,"127011592","11592",Bringelly - Green Valley,"12701",Sydney - South West,"127",Liverpool (C),"14900",Greater Sydney,1GSYD,South West,Primary Production,466.346143400000017,Stage 1,GIC_1,Western Sydney Airport,Western Sydney Airport,Greenfield,Aerotropolis,Western Sydney Airport,"7","7","4","1","0","0","0","0","0","3","3","955","1,549","1,969","3,930","5,689","7,093","7,291",NSW130,BADGERYS CREEK,"14900",Liverpool (C),"372","372"
"3594",Kemps Creek_Western Rd and Braikfield Av,1195981.81893000007,Kemps Creek_Western Rd and Braikfield Av,Austral - Greendale,"127011505","11505",Bringelly - Green Valley,"12701",Sydney - South West,"127",Liverpool (C),"14900",Greater Sydney,1GSYD,South West,Residential,119.810319899999996,"0",GIC_1,Kemps Creek,Kemps Creek,Greenfield,Aerotropolis,Kemps Creek,"100","101","138","181","214","245","249","250","253","68","83","147","192","245","312","351","379","450",NSW2118,KEMPS CREEK,"14900",Liverpool (C),"414","372"
"3607",Kemps Creek,3001063.56276000012,Kemps Creek,Austral - Greendale,"127011505","11505",Bringelly - Green Valley,"12701",Sydney - South West,"127",Liverpool (C),"14900",Greater Sydney,1GSYD,South West,Residential,300.640280599999983,"0",GIC_1,Kemps Creek,Kemps Creek,Greenfield,Aerotropolis,Kemps Creek,"414","436","390","333","271","212","167","113","122","220","240","317","392","463","512","522","550","661",NSW2118,KEMPS CREEK,"14900",Liverpool (C),"414","372"
"3611",Kemps Creek_Western Rd and Tavistock Rd,2318056.64917000011,Kemps Creek_Western Rd and Tavistock Rd,Austral - Greendale,"127011505","11505",Bringelly - Green Valley,"12701",Sydney - South West,"127",Liverpool (C),"14900",Greater Sydney,1GSYD,South West,Residential,232.217320699999988,"0",GIC_1,Kemps Creek,Kemps Creek,Greenfield,Aerotropolis,Kemps Creek,"449","419","379","375","278","185","73","49","4","132","162","284","372","476","605","680","735","872",NSW2118,KEMPS CREEK,"14900",Liverpool (C),"414","372"
"3613",Russian Sports Association,1456408.25598999998,Russian Sports Association,Austral - Greendale,"127011505","11505",Bringelly - Green Valley,"12701",Sydney - South West,"127",Liverpool (C),"14900",Greater Sydney,1GSYD,South West,Residential,145.898750000000007,"0",GIC_1,Rossmore,Rossmore,Greenfield,Aerotropolis,Rossmore,"171","270","321","322","1,887","3,853","4,514","5,047","5,929","77","75","92","116","133","144","141","145","175",NSW2118,KEMPS CREEK,"14900",Liverpool (C),"414","372"
"3614",Kemps Creek_Czechoslovakian Country Club,2910067.65257999999,Kemps Creek_Czechoslovakian Country Club,Austral - Greendale,"127011505","11505",Bringelly - Green Valley,"12701",Sydney - South West,"127",Liverpool (C),"14900",Greater Sydney,1GSYD,South West,Residential,291.522057399999994,"0",GIC_1,Rossmore,Rossmore,Greenfield,Aerotropolis,Rossmore,"407","423","519","522","3,076","6,223","6,980","7,516","8,521","155","152","185","234","268","291","284","293","355",NSW2118,KEMPS CREEK,"14900",Liverpool (C),"414","372"
"4970",Luddenham Hall,4969216.09312999994,Luddenham Hall,Mulgoa - Luddenham - Orchard Hills,"124031463","11463",Penrith,"12403",Sydney - Outer West and Blue Mountains,"124",Liverpool (C),"14900",Greater Sydney,1GSYD,South West,Primary Production,497.807724899999982,"0",GIC_1,Agriculture and Agribusiness,Agriculture and Agribusiness,Greenfield,Aerotropolis,Agriculture and Agribusiness,"555","559","562","612","750","752","754","757","759","97","109","532","1,995","3,331","5,480","8,185","10,221","10,255",NSW2441,LUDDENHAM,"14900",Liverpool (C),"573","372"
"3635",Luddenham _South,7809656.20894000027,Luddenham _South,Badgerys Creek,"127011592","11592",Bringelly - Green Valley,"12701",Sydney - South West,"127",Liverpool (C),"14900",Greater Sydney,1GSYD,South West,Primary Production,782.351997900000015,Stage 1,GIC_1,Western Sydney Airport,Western Sydney Airport,Greenfield,Aerotropolis,Western Sydney Airport,"38","39","14","8","5","5","3","4","3","3","3","65","606","1,491","2,877","3,642","4,063","5,047",NSW2441,LUDDENHAM,"14900",Liverpool (C),"573","372"
"3617",Bringelly_Mersey Rd and Severn Rd,3238551.38189999992,Bringelly_Mersey Rd and Severn Rd,Austral - Greendale,"127011505","11505",Bringelly - Green Valley,"12701",Sydney - South West,"127",Liverpool (C),"14900",Greater Sydney,1GSYD,South West,Residential,324.427907800000014,Stage 1,GIC_1,Aerotropolis Core,Aerotropolis Core,Greenfield,Aerotropolis,Aerotropolis Core,"327","533","863","1,212","2,299","3,340","3,446","3,451","3,462","234","264","599","1,040","1,677","2,296","2,689","2,867","3,254",NSW582,BRINGELLY,"14900",Liverpool (C),"633","372"
"3618",Thompson Creek and South Creek,2211727.70142999990,Thompson Creek and South Creek,Austral - Greendale,"127011505","11505",Bringelly - Green Valley,"12701",Sydney - South West,"127",Liverpool (C),"14900",Greater Sydney,1GSYD,South West,Parkland,221.564075900000006,Stage 1,GIC_1,Aerotropolis Core,Aerotropolis Core,Greenfield,Aerotropolis,Aerotropolis Core,"0","0","0","0","0","0","0","0","0","4","5","222","542","1,062","1,602","1,998","2,156","2,378",NSW582,BRINGELLY,"14900",Liverpool (C),"633","372"
"3622",RAAF,2331703.06007000012,RAAF,Austral - Greendale,"127011505","11505",Bringelly - Green Valley,"12701",Sydney - South West,"127",Liverpool (C),"14900",Greater Sydney,1GSYD,South West,Parkland,233.581662599999987,Stage 1,GIC_1,Aerotropolis Core,Aerotropolis Core,Greenfield,Aerotropolis,Aerotropolis Core,"177","194","243","244","582","2,076","2,567","2,924","4,033","84","94","359","727","1,298","1,878","2,284","2,456","2,745",NSW582,BRINGELLY,"14900",Liverpool (C),"633","372"
"3623",Bringelly_Kelvin Park Dr and The Retreat,1413390.58175999997,Bringelly_Kelvin Park Dr and The Retreat,Austral - Greendale,"127011505","11505",Bringelly - Green Valley,"12701",Sydney - South West,"127",Liverpool (C),"14900",Greater Sydney,1GSYD,South West,Residential,141.588342100000006,Stage 1,GIC_1,Aerotropolis Core,Aerotropolis Core,Greenfield,Aerotropolis,Aerotropolis Core,"250","273","620","1,333","2,399","3,888","4,250","4,490","4,939","54","60","308","658","1,210","1,774","2,176","2,342","2,605",NSW582,BRINGELLY,"14900",Liverpool (C),"633","372"
"3626",Bringelly_Findley Rd and Francis St,5710310.42745999992,Bringelly_Findley Rd and Francis St,Austral - Greendale,"127011505","11505",Bringelly - Green Valley,"12701",Sydney - South West,"127",Liverpool (C),"14900",Greater Sydney,1GSYD,South West,Residential,572.037148999999999,"0",GIC_1,Agriculture and Agribusiness,Agriculture and Agribusiness,Greenfield,Aerotropolis,Agriculture and Agribusiness,"620","680","744","745","841","932","1,026","1,034","1,049","21","877","985","1,085","1,097","936","1,135","1,259","1,909",NSW582,BRINGELLY,"14900",Liverpool (C),"633","372"
"3628",Bringelly Public School,784521.61548200005,Bringelly Public School,Austral - Greendale,"127011505","11505",Bringelly - Green Valley,"12701",Sydney - South West,"127",Liverpool (C),"14900",Greater Sydney,1GSYD,South West,Residential,78.590378999999999,Stage 1,GIC_1,Agriculture and Agribusiness,Agriculture and Agribusiness,Greenfield,Aerotropolis,Agriculture and Agribusiness,"137","129","181","182","294","402","506","508","513","28","32","49","65","83","97","100","105","128",NSW582,BRINGELLY,"14900",Liverpool (C),"633","372"
"3629",Bringelly_Kelvin Park Dr and Medich Pl,2788620.70490999985,Bringelly_Kelvin Park Dr and Medich Pl,Austral - Greendale,"127011505","11505",Bringelly - Green Valley,"12701",Sydney - South West,"127",Liverpool (C),"14900",Greater Sydney,1GSYD,South West,Residential,279.352817899999991,Stage 1,GIC_1,Aerotropolis Core,Aerotropolis Core,Greenfield,Aerotropolis,Aerotropolis Core,"511","492","685","1,306","4,704","7,838","8,691","9,298","11,097","99","111","385","802","1,655","2,836","3,971","4,918","5,490",NSW582,BRINGELLY,"14900",Liverpool (C),"633","372"
"3599",Kemps Creek_Brandown Quarries,2313250.87961999979,Kemps Creek_Brandown Quarries,Austral - Greendale,"127011505","11505",Bringelly - Green Valley,"12701",Sydney - South West,"127",Liverpool (C),"14900",Greater Sydney,1GSYD,South West,Residential,231.736522400000013,"0",GIC_1,Kemps Creek,Kemps Creek,Greenfield,Aerotropolis,Kemps Creek,"183","184","174","132","91","51","51","50","48","170","185","244","302","357","394","402","424","509",NSW880,CECIL PARK,"14900",Liverpool (C),"687","372"
"3615",Kemps Creek Nature Reserve,3844599.93084000004,Kemps Creek Nature Reserve,Austral - Greendale,"127011505","11505",Bringelly - Green Valley,"12701",Sydney - South West,"127",Liverpool (C),"14900",Greater Sydney,1GSYD,South West,Parkland,385.141275399999984,"0",GIC_1,Austral,Austral,Greenfield,SWGA,Austral,"159","219","575","1,379","1,471","1,910","2,691","3,528","5,099","54","250","360","448","711","1,067","1,538","1,847","2,036",NSW880,CECIL PARK,"14900",Liverpool (C),"687","372"
