Area,LGA_fid,2016,2036,2041,LGA
Hurstville City Centre,Georges River Council area,7640.0,16176.0,,Georges River (A)
Hurstville Grove,Georges River Council area,2822.0,2954.0,,Georges River (A)
Hurstville Remainder,Georges River Council area,23354.0,24525.0,,Georges River (A)
Illawong,Sutherland Shire,7619.0,7704.0,,Sutherland Shire (A)
Ingleburn,Campbelltown City,15561.0,16993.0,,Campbelltown (C) (NSW)
Ingleside,Northern Beaches Council area,996.0,10415.0,,Northern Beaches (A)
Inner West Council area,Inner West Council area,192021.0,230667.0,,Inner West (A)
Jannali,Sutherland Shire,6323.0,7417.0,,Sutherland Shire (A)
Kareela,Sutherland Shire,3568.0,3567.0,,Sutherland Shire (A)
Katoomba - Medlow Bath,Blue Mountains City,8830.0,10481.0,,Blue Mountains (C)
Kearns,Campbelltown City,2818.0,2724.0,,Campbelltown (C) (NSW)
Kellyville,The Hills Shire,28710.0,65890.0,,The Hills Shire (A)
Kenthurst,The Hills Shire,5189.0,5477.0,,The Hills Shire (A)
Killarney Heights,Northern Beaches Council area,4598.0,5227.0,,Northern Beaches (A)
King Street,City of Sydney,21878.0,,32040.0,Sydney (C)
Kings Langley,Blacktown City,9627.0,9900.0,,Blacktown (C)
Kings Park,Blacktown City,3581.0,3804.0,,Blacktown (C)
Kingsgrove,City of Canterbury Bankstown,6531.0,6478.0,,Canterbury-Bankstown (A)
Kingsgrove,Georges River Council area,3793.0,4246.0,,Georges River (A)
Kirrawee,Sutherland Shire,9409.0,13680.0,,Sutherland Shire (A)
Kirribilli,North Sydney Council area,4076.0,4328.0,,North Sydney (A)
Kogarah,Georges River Council area,6811.0,10901.0,,Georges River (A)
Kogarah Bay - Carss Park,Georges River Council area,3520.0,3856.0,,Georges River (A)
Kurnell,Sutherland Shire,2371.0,2339.0,,Sutherland Shire (A)
Lakemba,City of Canterbury Bankstown,18031.0,22296.0,,Canterbury-Bankstown (A)
Lalor Park,Blacktown City,7799.0,8403.0,,Blacktown (C)
Lansvale,Fairfield City,2695.0,2735.0,,Fairfield (C)
Lawson - Bullaburra,Blue Mountains City,3902.0,4158.0,,Blue Mountains (C)
Leichhardt,Inner West Council area,15514.0,23307.0,,Inner West (A)
Leppington - Denham Court,Liverpool City,1396.0,,6464.0,Liverpool (C)
Leppington North - Leppington Precincts,Camden Council,1139.0,26301.0,,Camden (A)
Lethbridge Park,Blacktown City,4886.0,5293.0,,Blacktown (C)
Leumeah,Campbelltown City,10136.0,11309.0,,Campbelltown (C) (NSW)
Leura,Blue Mountains City,4783.0,5082.0,,Blue Mountains (C)
Lewisham,Inner West Council area,3383.0,5940.0,,Inner West (A)
Liberty Grove,"Burwood, City of Canada Bay and Strathfield Municipal councils",2373.0,2228.0,,"Burwood, Canada Bay (A) and Strathfield Municipal councils"
Liberty Grove,City of Canada Bay,2373.0,2228.0,,Canada Bay (A)
Lidcombe (North),Cumberland Council area,10499.0,17895.0,,Cumberland (A)
Lidcombe (South) - Rookwood,Cumberland Council area,9963.0,13565.0,,Cumberland (A)
Lilyfield,Inner West Council area,8088.0,8026.0,,Inner West (A)
Liverpool,Liverpool City,28597.0,,52822.0,Liverpool (C)
Liverpool City,Liverpool City,212232.0,,386646.0,Liverpool (C)
Loftus,Sutherland Shire,4243.0,4291.0,,Sutherland Shire (A)
Lowes Creek Precinct,Camden Council,510.0,19506.0,,Camden (A)
Lugarno,Georges River Council area,5803.0,6222.0,,Georges River (A)
Lurnea,Liverpool City,9496.0,,9126.0,Liverpool (C)
Macleay Street - Woolloomooloo,City of Sydney,22805.0,,24064.0,Sydney (C)
Macquarie Fields - Macquarie Links,Campbelltown City,15517.0,16267.0,,Campbelltown (C) (NSW)
Manly,Northern Beaches Council area,17288.0,19640.0,,Northern Beaches (A)
Manly (Eastern Hill),Northern Beaches Council area,5523.0,5692.0,,Northern Beaches (A)
Manly (Pittwater Road),Northern Beaches Council area,8688.0,9710.0,,Northern Beaches (A)
Manly (Town Centre),Northern Beaches Council area,3077.0,4237.0,,Northern Beaches (A)
Manly Vale,Northern Beaches Council area,6429.0,7716.0,,Northern Beaches (A)
Marayong,Blacktown City,7906.0,8615.0,,Blacktown (C)
Marrickville (North),Inner West Council area,17255.0,19460.0,,Inner West (A)
Marrickville (South),Inner West Council area,10745.0,18125.0,,Inner West (A)
Marrickville (Suburb),Inner West Council area,28000.0,37585.0,,Inner West (A)
Marsden Park - Shanes Park,Blacktown City,1249.0,32521.0,,Blacktown (C)
Marsden Park North - Riverstone West,Blacktown City,577.0,14478.0,,Blacktown (C)
Maryland Precinct,Camden Council,12.0,18950.0,,Camden (A)
McMahons Point,North Sydney Council area,2495.0,2644.0,,North Sydney (A)
Menai - Sandy Point,Sutherland Shire,11205.0,11133.0,,Sutherland Shire (A)
Menangle - Razorback,Wollondilly Shire,2283.0,,3208.0,Wollondilly (A)
Menangle Park,Campbelltown City,259.0,10818.0,,Campbelltown (C) (NSW)
Merrylands - Holroyd,Cumberland Council area,32507.0,48895.0,,Cumberland (A)
Merrylands West,Cumberland Council area,6844.0,7805.0,,Cumberland (A)
Middle Harbour,Mosman Council area,8249.0,8778.0,,Mosman (A)
Middle Head - Georges Heights - Clifton Gardens,Mosman Council area,2432.0,2388.0,,Mosman (A)
Middleton Grange,Liverpool City,5358.0,,8132.0,Liverpool (C)
Miller,Liverpool City,3252.0,,5620.0,Liverpool (C)
Milperra,City of Canterbury Bankstown,4041.0,5947.0,,Canterbury-Bankstown (A)
Milsons Point - Lavender Bay,North Sydney Council area,3300.0,4417.0,,North Sydney (A)
Minchinbury,Blacktown City,5765.0,5936.0,,Blacktown (C)
Minto,Campbelltown City,12856.0,14845.0,,Campbelltown (C) (NSW)
Miranda,Sutherland Shire,16137.0,23582.0,,Sutherland Shire (A)
Mona Vale,Northern Beaches Council area,10936.0,11187.0,,Northern Beaches (A)
Moorebank,Liverpool City,10814.0,,24417.0,Liverpool (C)
Mortdale,Georges River Council area,10768.0,11781.0,,Georges River (A)
Mortlake - Breakfast Point,"Burwood, City of Canada Bay and Strathfield Municipal councils",5495.0,8665.0,,"Burwood, Canada Bay (A) and Strathfield Municipal councils"
Mortlake - Breakfast Point,City of Canada Bay,5495.0,8665.0,,Canada Bay (A)
Mosman Bay,Mosman Council area,5323.0,5200.0,,Mosman (A)
Mosman Central,Mosman Council area,5842.0,6749.0,,Mosman (A)
Mosman Council area,Mosman Council area,30489.0,32125.0,,Mosman (A)
Mosman Junction,Mosman Council area,2873.0,3151.0,,Mosman (A)
Mount Annan,Camden Council,11968.0,10642.0,,Camden (A)
Mount Colah - Mount Kuring-gai,Hornsby Shire,9148.0,11011.0,,Hornsby (A)
Mount Druitt,Blacktown City,17219.0,21860.0,,Blacktown (C)
Mount Gilead,Campbelltown City,285.0,7197.0,,Campbelltown (C) (NSW)
Mount Pritchard,Fairfield City,9837.0,10108.0,,Fairfield (C)
Mount Riverview,Blue Mountains City,3094.0,3082.0,,Blue Mountains (C)
Narellan - Smeaton Grange,Camden Council,3756.0,5320.0,,Camden (A)
Narellan Vale,Camden Council,7381.0,6713.0,,Camden (A)
Naremburn,Willoughby City,6195.0,7019.0,,Willoughby (C)
Narrabeen,Northern Beaches Council area,8538.0,10516.0,,Northern Beaches (A)
Narraweena,Northern Beaches Council area,6755.0,7972.0,,Northern Beaches (A)
Narwee - Beverley Hills,City of Canterbury Bankstown,5501.0,5814.0,,Canterbury-Bankstown (A)
Neutral Bay - Kurraba Point,North Sydney Council area,12762.0,13389.0,,North Sydney (A)
Newington,City of Parramatta,6066.0,,5821.0,Parramatta (C)
Newport,Northern Beaches Council area,9854.0,10066.0,,Northern Beaches (A)
Newtown,Inner West Council area,8411.0,8517.0,,Inner West (A)
Normanhurst,Hornsby Shire,5537.0,6000.0,,Hornsby (A)
North Balgowlah,Northern Beaches Council area,3825.0,3832.0,,Northern Beaches (A)
North Epping,Hornsby Shire,4694.0,4857.0,,Hornsby (A)
North Kellyville,The Hills Shire,3613.0,17158.0,,The Hills Shire (A)
North Manly,Northern Beaches Council area,3216.0,3478.0,,Northern Beaches (A)
North Narrabeen,Northern Beaches Council area,6053.0,6024.0,,Northern Beaches (A)
North Parramatta,City of Parramatta,13879.0,,17189.0,Parramatta (C)
North Rocks,City of Parramatta,7995.0,,9936.0,Parramatta (C)
North Strathfield - Strathfield,City of Canada Bay,7788.0,11917.0,,Canada Bay (A)
North Strathfield - Strathfield (Canada Bay LGA),"Burwood, City of Canada Bay and Strathfield Municipal councils",7788.0,11917.0,,"Burwood, Canada Bay (A) and Strathfield Municipal councils"
North Sydney,North Sydney Council area,8152.0,11622.0,,North Sydney (A)
North Sydney Council area,North Sydney Council area,72036.0,84422.0,,North Sydney (A)
North Willoughby - Willoughby East,Willoughby City,6279.0,6127.0,,Willoughby (C)
Northbridge,Willoughby City,6677.0,7430.0,,Willoughby (C)
Northern Beaches Council area,Northern Beaches Council area,266344.0,309333.0,,Northern Beaches (A)
Northmead,City of Parramatta,11333.0,,20105.0,Parramatta (C)
Oakdale - Nattai - National Park,Wollondilly Shire,1980.0,,2458.0,Wollondilly (A)
Oakhurst,Blacktown City,7157.0,7594.0,,Blacktown (C)
Oatlands,City of Parramatta,5915.0,,6835.0,Parramatta (C)
Oatley,Georges River Council area,10937.0,11485.0,,Georges River (A)
Old Guildford - Yennora,Fairfield City,4404.0,5206.0,,Fairfield (C)
Old Toongabbie,City of Parramatta,3188.0,,3285.0,Parramatta (C)
Oran Park Precinct,Camden Council,5331.0,27660.0,,Camden (A)
Orangeville - Werombi & District,Wollondilly Shire,3244.0,,4213.0,Wollondilly (A)
Oxford Street,City of Sydney,20253.0,,21426.0,Sydney (C)
Oyster Bay,Sutherland Shire,5606.0,5499.0,,Sutherland Shire (A)
Padstow - Padstow Heights,City of Canterbury Bankstown,17360.0,19659.0,,Canterbury-Bankstown (A)
Palm Beach - Whale Beach,Northern Beaches Council area,2062.0,2230.0,,Northern Beaches (A)
Panania - East Hills,City of Canterbury Bankstown,16107.0,17312.0,,Canterbury-Bankstown (A)
Parramatta,City of Parramatta,26796.0,,78636.0,Parramatta (C)
Parramatta CBD,City of Parramatta,12928.0,,47702.0,Parramatta (C)
Parramatta Remainder,City of Parramatta,13868.0,,30934.0,Parramatta (C)
Peakhurst,Georges River Council area,10859.0,14665.0,,Georges River (A)
Peakhurst Heights,Georges River Council area,2419.0,2573.0,,Georges River (A)
Pemulwuy,Cumberland Council area,5205.0,5208.0,,Cumberland (A)
Pendle Hill,Cumberland Council area,6027.0,11222.0,,Cumberland (A)
Pennant Hills,Hornsby Shire,7567.0,9129.0,,Hornsby (A)
Penshurst,Georges River Council area,13248.0,14664.0,,Georges River (A)
Petersham,Inner West Council area,8522.0,10318.0,,Inner West (A)
Picnic Point,City of Canterbury Bankstown,6212.0,6486.0,,Canterbury-Bankstown (A)
Picton - Mowbray Park - Maldon,Wollondilly Shire,5081.0,,7481.0,Wollondilly (A)
Plumpton,Blacktown City,9453.0,11537.0,,Blacktown (C)
Prairiewood,Fairfield City,3355.0,4040.0,,Fairfield (C)
Prestons,Liverpool City,15895.0,,13365.0,Liverpool (C)
Prospect - Huntingwood - Arndell Park,Blacktown City,4926.0,6699.0,,Blacktown (C)
Punchbowl,City of Canterbury Bankstown,21154.0,30334.0,,Canterbury-Bankstown (A)
Quakers Hill,Blacktown City,27900.0,33431.0,,Blacktown (C)
Queenscliff,Northern Beaches Council area,3605.0,3771.0,,Northern Beaches (A)
Raby,Campbelltown City,6109.0,5962.0,,Campbelltown (C) (NSW)
Redfern Street,City of Sydney,29485.0,,52342.0,Sydney (C)
Redfern Waterloo,City of Sydney,34091.0,,69561.0,Sydney (C)
Regents Park,Cumberland Council area,4548.0,5074.0,,Cumberland (A)
Revesby - Revesby Heights,City of Canterbury Bankstown,16550.0,17935.0,,Canterbury-Bankstown (A)
Rhodes,"Burwood, City of Canada Bay and Strathfield Municipal councils",12515.0,20031.0,,"Burwood, Canada Bay (A) and Strathfield Municipal councils"
Rhodes,City of Canada Bay,12515.0,20031.0,,Canada Bay (A)
Riverstone East - Area 20,Blacktown City,706.0,25661.0,,Blacktown (C)
Riverstone Release Area,Blacktown City,8652.0,31280.0,,Blacktown (C)
Riverwood,City of Canterbury Bankstown,6684.0,15467.0,,Canterbury-Bankstown (A)
Riverwood,Georges River Council area,6155.0,7965.0,,Georges River (A)
Rooty Hill - Eastern Creek,Blacktown City,15896.0,19023.0,,Blacktown (C)
Ropes Crossing,Blacktown City,6356.0,6680.0,,Blacktown (C)
Rosehill,City of Parramatta,4006.0,,5330.0,Parramatta (C)
Roselands,City of Canterbury Bankstown,11904.0,14114.0,,Canterbury-Bankstown (A)
Rosemeadow,Campbelltown City,8113.0,8692.0,,Campbelltown (C) (NSW)
Roseville,Willoughby City,2493.0,3231.0,,Willoughby (C)
Rouse Hill,The Hills Shire,8389.0,15023.0,,The Hills Shire (A)
Rouse Hill Regional Centre,The Hills Shire,1803.0,5987.0,,The Hills Shire (A)
Rozelle,Inner West Council area,9348.0,9429.0,,Inner West (A)
Rural North,The Hills Shire,4222.0,4443.0,,The Hills Shire (A)
Rural Residential,Campbelltown City,2550.0,38377.0,,Campbelltown (C) (NSW)
Ruse,Campbelltown City,5707.0,5958.0,,Campbelltown (C) (NSW)
Russell Lea - Rodd Point,"Burwood, City of Canada Bay and Strathfield Municipal councils",6641.0,6702.0,,"Burwood, Canada Bay (A) and Strathfield Municipal councils"
Russell Lea - Rodd Point,City of Canada Bay,6641.0,6702.0,,Canada Bay (A)
Rydalmere,City of Parramatta,6883.0,,10686.0,Parramatta (C)
Sadleir,Liverpool City,3201.0,,3277.0,Liverpool (C)
Sans Souci,Georges River Council area,2703.0,3253.0,,Georges River (A)
Schofields - Schofields West,Blacktown City,1351.0,7068.0,,Blacktown (C)
Seaforth,Northern Beaches Council area,7542.0,7713.0,,Northern Beaches (A)
Sefton,City of Canterbury Bankstown,5985.0,7361.0,,Canterbury-Bankstown (A)
Seven Hills,Blacktown City,20095.0,23836.0,,Blacktown (C)
Shalvey,Blacktown City,3559.0,3460.0,,Blacktown (C)
Silverwater,City of Parramatta,4350.0,,5067.0,Parramatta (C)
Smithfield,Fairfield City,12333.0,14617.0,,Fairfield (C)
South Granville - Chester Hill,Cumberland Council area,6647.0,7185.0,,Cumberland (A)
South Hurstville,Georges River Council area,5590.0,6655.0,,Georges River (A)
South Wentworthville,Cumberland Council area,6500.0,8211.0,,Cumberland (A)
Spring Farm,Camden Council,4392.0,11306.0,,Camden (A)
Springwood - Valley Heights,Blue Mountains City,10158.0,10576.0,,Blue Mountains (C)
St Andrews - Bow Bowing,Campbelltown City,7532.0,7264.0,,Campbelltown (C) (NSW)
St Helens Park,Campbelltown City,6717.0,7874.0,,Campbelltown (C) (NSW)
St Johns Park,Fairfield City,6350.0,6680.0,,Fairfield (C)
St Leonards,Willoughby City,2329.0,4483.0,,Willoughby (C)
St Peters - Sydenham,Inner West Council area,4546.0,8052.0,,Inner West (A)
Stanhope Gardens - Kellyville Ridge,Blacktown City,19950.0,20223.0,,Blacktown (C)
Stanmore,Inner West Council area,8320.0,9221.0,,Inner West (A)
Strathfield (Strathfield LGA),"Burwood, City of Canada Bay and Strathfield Municipal councils",18521.0,21906.0,,"Burwood, Canada Bay (A) and Strathfield Municipal councils"
Strathfield (suburb),"Burwood, City of Canada Bay and Strathfield Municipal councils",26577.0,33175.0,,"Burwood, Canada Bay (A) and Strathfield Municipal councils"
Strathfield LGA,"Burwood, City of Canada Bay and Strathfield Municipal councils",42332.0,64041.0,,"Burwood, Canada Bay (A) and Strathfield Municipal councils"
Strathfield South,"Burwood, City of Canada Bay and Strathfield Municipal councils",3692.0,5616.0,,"Burwood, Canada Bay (A) and Strathfield Municipal councils"
Summer Hill,Inner West Council area,7666.0,9076.0,,Inner West (A)
Sutherland,Sutherland Shire,11231.0,15945.0,,Sutherland Shire (A)
Sutherland Shire,Sutherland Shire,226041.0,266020.0,,Sutherland Shire (A)
Sydney Olympic Park - Carter Street Precinct,City of Parramatta,1838.0,,35322.0,Parramatta (C)
Sylvania - Kangaroo Point,Sutherland Shire,11672.0,12454.0,,Sutherland Shire (A)
Sylvania Waters - Taren Point,Sutherland Shire,4933.0,5240.0,,Sutherland Shire (A)
Tahmoor,Wollondilly Shire,5174.0,,7456.0,Wollondilly (A)
Telopea,City of Parramatta,5730.0,,16970.0,Parramatta (C)
Tempe,Inner West Council area,3782.0,3803.0,,Inner West (A)
Terrey Hills - Duffys Forest,Northern Beaches Council area,3658.0,4115.0,,Northern Beaches (A)
The Hills Shire,The Hills Shire,162525.0,250971.0,,The Hills Shire (A)
The Oaks - Belimba Park - Glenmore,Wollondilly Shire,3335.0,,3930.0,Wollondilly (A)
The Ponds,Blacktown City,10164.0,9872.0,,Blacktown (C)
Thirlmere - Lakesland,Wollondilly Shire,4589.0,,6532.0,Wollondilly (A)
Thornleigh,Hornsby Shire,8737.0,10649.0,,Hornsby (A)
Toongabbie,Blacktown City,5127.0,5690.0,,Blacktown (C)
Toongabbie,City of Parramatta,7657.0,,8534.0,Parramatta (C)
Tregear,Blacktown City,4012.0,4235.0,,Blacktown (C)
Turner Road Precinct & Central Hills,Camden Council,6468.0,24391.0,,Camden (A)
Villawood,City of Canterbury Bankstown,4153.0,4671.0,,Canterbury-Bankstown (A)
Villawood,Fairfield City,2078.0,4818.0,,Fairfield (C)
Voyager Point - Pleasure Point,Liverpool City,2281.0,,2287.0,Liverpool (C)
Wahroonga,Hornsby Shire,4515.0,5556.0,,Hornsby (A)
Waitara,Hornsby Shire,5900.0,9407.0,,Hornsby (A)
Wakeley,Fairfield City,4935.0,4984.0,,Fairfield (C)
Wallacia - Warragamba - Silverdale,Wollondilly Shire,5337.0,,7248.0,Wollondilly (A)
Warriewood,Northern Beaches Council area,7859.0,9817.0,,Northern Beaches (A)
Warrimoo,Blue Mountains City,2454.0,2305.0,,Blue Mountains (C)
Warwick Farm,Liverpool City,6218.0,,15140.0,Liverpool (C)
Wattle Grove,Liverpool City,8499.0,,8079.0,Liverpool (C)
Waverton,North Sydney Council area,3243.0,3410.0,,North Sydney (A)
Wentworth Falls,Blue Mountains City,6248.0,6559.0,,Blue Mountains (C)
Wentworth Point,City of Parramatta,7322.0,,18580.0,Parramatta (C)
Wentworthville,Cumberland Council area,7689.0,14760.0,,Cumberland (A)
Wentworthville - Pendle Hill,City of Parramatta,5468.0,,6853.0,Parramatta (C)
West Hoxton,Liverpool City,10380.0,,9345.0,Liverpool (C)
West Pennant Hills,Hornsby Shire,4103.0,4815.0,,Hornsby (A)
West Pennant Hills,The Hills Shire,13224.0,17123.0,,The Hills Shire (A)
Western area - Greendale and Surrounds,Liverpool City,6915.0,,40825.0,Liverpool (C)
Westleigh,Hornsby Shire,4608.0,4745.0,,Hornsby (A)
Westmead,City of Parramatta,9500.0,,23221.0,Parramatta (C)
Westmead - Mays Hill,Cumberland Council area,8002.0,11253.0,,Cumberland (A)
Wetherill Park,Fairfield City,6329.0,6434.0,,Fairfield (C)
Whalan,Blacktown City,6163.0,6265.0,,Blacktown (C)
Wheeler Heights,Northern Beaches Council area,3176.0,3203.0,,Northern Beaches (A)
Wiley Park,City of Canterbury Bankstown,10770.0,12331.0,,Canterbury-Bankstown (A)
Willmot,Blacktown City,2503.0,2597.0,,Blacktown (C)
Willoughby,Willoughby City,6762.0,9301.0,,Willoughby (C)
Willoughby City,Willoughby City,78018.0,91848.0,,Willoughby (C)
Winmalee - Yellow Rock,Blue Mountains City,7857.0,8015.0,,Blue Mountains (C)
Winston Hills,City of Parramatta,12935.0,,14278.0,Parramatta (C)
Wollondilly Shire,Wollondilly Shire,49811.0,,99600.0,Wollondilly (A)
Wollstonecraft,North Sydney Council area,8774.0,9304.0,,North Sydney (A)
Woodbine - Blairmount,Campbelltown City,3240.0,7534.0,,Campbelltown (C) (NSW)
Woodcroft,Blacktown City,6694.0,6519.0,,Blacktown (C)
Woodford - Linden,Blue Mountains City,2478.0,2664.0,,Blue Mountains (C)
Woolooware,Sutherland Shire,4315.0,6327.0,,Sutherland Shire (A)
Woronora,Sutherland Shire,2260.0,2243.0,,Sutherland Shire (A)
Woronora Heights,Sutherland Shire,2931.0,2753.0,,Sutherland Shire (A)
Yagoona,City of Canterbury Bankstown,18736.0,23100.0,,Canterbury-Bankstown (A)
Yarrawarrah,Sutherland Shire,2831.0,2721.0,,Sutherland Shire (A)
Yowie Bay,Sutherland Shire,3066.0,3058.0,,Sutherland Shire (A)
