Row Labels,Sum of pop_U,Sum of pop_P,Sum of T30_U,Sum of T30_P,,,,,,,
ASHCROFT,3729,3729,2180414,2180718,,71502,66689,43757481,41412550,611.9756231,620.9802216
AUSTRAL,71502,66689,43757481,41412550,,12396,9866,52717233,50309543,4252.761617,5099.284715
BADGERYS CREEK,399,143,32843197,32053531,,13157,10340,39476445,37580318,3000.413848,3634.460155
BRINGELLY,14085,14085,30675261,30139016,,392588,382172,306765081,298783086,781.3918943,781.8026595
BUSBY,4528,4528,2089807,2104845,,,,,,,
CARNES HILL,2324,2324,1078651,1050965,,,,,,,
CARTWRIGHT,2711,2711,2722774,2738650,,,,,,,
CASULA,15883,15883,9112580,9131867,,,,,,,
CECIL HILLS,6585,6585,968494,966320,,,,,,,
CECIL PARK,2908,2908,7292,7257,,,,,,,
CHIPPING NORTON,8770,8770,4979152,4979152,,,,,,,
DENHAM COURT,5925,5925,6242,6242,,,,,,,
EDMONDSON PARK,27561,27561,304479,307297,,,,,,,
ELIZABETH HILLS,2773,2773,329723,332557,,,,,,,
GREEN VALLEY,11390,11390,4211942,4238437,,,,,,,
GREENDALE,12,12,1294965,1294965,,,,,,,
HAMMONDVILLE,4138,4138,198343,198343,,,,,,,
HECKENBERG,3150,3150,1693334,1693298,,,,,,,
HINCHINBROOK,10430,10430,4455496,4490099,,,,,,,
HOLSWORTHY,5611,5611,622909,622909,,,,,,,
HORNINGSEA PARK,3737,3737,953899,932000,,,,,,,
HOXTON PARK,4993,4993,2707730,2693919,,,,,,,
KEMPS CREEK,12396,9866,52717233,50309543,,,,,,,
LEN WATERS ESTATE,0,0,58228,59128,,,,,,,
LEPPINGTON,539,539,12194,12184,,,,,,,
LIVERPOOL,52833,52833,28233009,28275626,,,,,,,
LUDDENHAM,715,715,3133472,3133472,,,,,,,
LURNEA,9124,9124,6189778,6220604,,,,,,,
MIDDLETON GRANGE,8134,8134,2991546,2934045,,,,,,,
MILLER,5619,5619,2738704,2754892,,,,,,,
MOOREBANK,24417,24417,5451384,5451384,,,,,,,
MOUNT PRITCHARD,552,552,243517,243517,,,,,,,
PLEASURE POINT,556,556,7974,7974,,,,,,,
PRESTONS,13370,13370,6231133,6228921,,,,,,,
ROSSMORE,13157,10340,39476445,37580318,,,,,,,
SADLEIR,3278,3278,1757090,1758986,,,,,,,
SILVERDALE,29,29,358,358,,,,,,,
VOYAGER POINT,1732,1732,84132,84132,,,,,,,
WALLACIA,560,560,116833,116833,,,,,,,
WARWICK FARM,15141,15141,5696038,5696038,,,,,,,
WATTLE GROVE,7942,7942,533990,533990,,,,,,,
WEST HOXTON,9350,9350,3897858,3806204,,,,,,,
Grand Total,392588,382172,306765081,298783086,,,,,,,